,academic_year,gender,qualification,study_level,modules,module_credits,grade_average,modules_passed,pass_rate,passed_all_modules,tutorial_classes_attended,tutorial_class_modules
0,2024,Male,BSc IT: Data Science,1st year,8,94,41.0,3,37.5,No,5,2
1,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,106,55.0,5,71.4,NOPE,19,2
2,2024,Male,BSc IT: Data Science,3rd year,1,16,53.0,1,100.0,YES,0,0
3,2024,Female,BSc IT: Data Science,3rd year,4,72,72.0,4,100.0,YEAH,0,0
4,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,11,156,64.0,11,100.0,Yes,62,11
5,2024,Female,BSc IT: Data Science,3rd year,2,32,56.0,1,50.0,no,0,0
6,2024,Female,BSc in CompUter Science,3rd year,4,60,65.0,4,100.0,yes,,
7,2024,Male,BSc IT: Software Engineering,2nd year,7,100,38.0,0,0.0,no,3,1
8,2024,Male,BSc in CompUter Science,1st year,3,48,58.0,3,100.0,yes,9,2
9,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,3,50,49.0,2,66.7,no,1,1
10,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,110,51.0,3,75.0,no,1,1
11,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,70,54.0,2,50.0,no,2,1
12,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,90,64.0,4,100.0,yes,8,1
13,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,130,57.0,4,57.1,no,3,1
14,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,4,70,,0,0.0,no,,
15,2024,Male,Higher Certificate in Information Systems: Software Development,1st year,7,106,0.0,0,0.0,no,4,2
16,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,5,100,52.0,2,40.0,no,3,2
17,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,60,36.0,1,33.3,no,2,1
18,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,4,80,66.0,4,100.0,yes,9,1
19,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,2,40,45.0,1,50.0,no,2,1
20,2024,Male,BSc in CompUter Science,2nd year,2,30,51.0,1,50.0,no,5,1
21,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,5,100,60.0,5,100.0,yes,5,1
22,2024,Male,BSc IT: Software Engineering,2nd year,2,25,56.0,2,100.0,yes,3,1
23,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,4,100,42.0,0,0.0,no,,
24,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,3,60,42.0,0,0.0,no,5,1
25,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,59.0,1,100.0,yes,,
26,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,9,140,49.0,2,22.2,no,26,9
27,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,130,56.0,4,57.1,no,7,2
28,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,4,90,58.0,4,100.0,yes,9,1
29,2024,Male,Higher Certificate in Information Systems: Cloud Computing,1st year,11,136,0.0,0,0.0,no,0,0
30,2024,Male,BSc IT: Software Engineering,3rd year,1,15,69.0,1,100.0,yes,0,0
31,2024,Male,BSc IT: Data Science,3rd year,9,144,60.0,7,77.8,no,0,0
32,2024,Male,Higher Certificate in Information Systems: Software Development,2nd year,7,110,69.0,3,42.9,no,23,7
33,2024,Female,Higher Certificate in Information Systems: Software Development,2nd year,5,80,68.0,5,100.0,yes,19,8
34,2024,Female,Higher Certificate in Information Systems: Software Development,3rd year,5,90,43.0,2,40.0,no,21,2
35,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,7,130,69.0,7,100.0,yes,26,2
36,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,2,40,46.0,0,0.0,no,0,0
37,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,69.0,1,100.0,yes,0,0
38,2024,Male,Higher Certificate in Information Systems: Cloud Computing,3rd year,1,30,61.0,1,100.0,yes,0,0
39,2024,Male,BSc in CompUter Science,3rd year,4,60,50.0,2,50.0,no,0,0
40,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,3,70,56.0,2,66.7,no,2,1
41,2024,Female,Higher Certificate in Information Systems: Cloud Computing,3rd year,1,30,71.0,1,100.0,yes,0,0
42,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,66.0,4,66.7,no,7,2
43,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,2,50,55.0,2,100.0,yes,0,0
44,2024,Female,BSc in CompUter Science,3rd year,5,100,52.0,4,80.0,no,7,1
45,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,6,120,56.0,5,83.3,no,7,2
46,2024,Male,BSc in CompUter Science,3rd year,1,15,69.0,1,100.0,yes,0,0
47,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,1,20,68.0,1,100.0,yes,0,0
48,2024,Male,Higher Certificate in Information Systems: Software Development,3rd year,5,110,51.0,3,60.0,no,2,1
